ZCTA,covid_25to34,covid_35to44,covid_45to54,covid_55to64,covid_65to74,covid_75to84,covid_85up
ZCTA33138,2,4,5,7,11,17,15
ZCTA33139,2,10,4,9,18,17,28
ZCTA33140,2,,2,1,12,17,7
ZCTA33141,1,3,5,9,12,15,19
ZCTA33142,4,8,22,32,34,52,44
ZCTA33143,1,,2,2,9,11,16
ZCTA33144,2,3,3,11,13,29,43
ZCTA33145,,2,5,10,20,30,32
ZCTA33146,,1,1,1,6,3,9
ZCTA33147,10,9,16,45,47,44,33
ZCTA33149,,,,1,1,3,1
ZCTA33150,5,10,9,19,26,31,12
ZCTA33151,,,,,,,1
ZCTA33154,,,1,,2,4,15
ZCTA33155,3,1,9,14,19,46,41
ZCTA33156,,,3,2,13,6,16
ZCTA33157,3,5,17,35,29,46,42
ZCTA33158,,,,,2,3,3
ZCTA33160,,,,,,1,
ZCTA33160,,1,4,10,12,24,36
ZCTA33161,3,7,12,30,40,34,29
ZCTA33162,3,9,8,21,26,22,19
ZCTA33163,,,,,,1,
ZCTA33164,,,,,1,,
ZCTA33165,,3,7,15,34,46,55
ZCTA33166,1,2,2,14,9,19,28
ZCTA33167,2,4,3,7,18,18,13
ZCTA33168,,6,9,16,21,23,8
ZCTA33169,1,5,9,20,35,24,13
ZCTA33170,,2,9,7,10,3,6
ZCTA33172,,2,4,12,35,31,24
ZCTA33173,,1,4,15,11,29,35
ZCTA33174,1,2,4,7,15,40,25
ZCTA33175,,2,6,9,35,60,40
ZCTA33176,1,5,7,9,20,28,38
ZCTA33177,1,2,10,26,34,41,33
ZCTA33178,,1,7,9,19,18,14
ZCTA33179,2,2,3,10,29,34,29
ZCTA33180,1,1,1,8,10,19,39
ZCTA33181,,1,3,3,8,4,4
ZCTA33182,,,2,5,6,7,8
ZCTA33183,,2,4,8,24,30,22
ZCTA33184,,1,5,7,16,16,11
ZCTA33185,1,2,4,6,10,23,16
ZCTA33186,1,4,5,13,16,29,32
ZCTA33187,,2,4,6,5,10,3
ZCTA33189,,,1,6,9,21,7
ZCTA33190,,,,3,3,7,3
ZCTA33193,1,3,4,11,18,35,18
ZCTA33194,,,4,,3,1,1
ZCTA33196,,2,5,15,20,22,20
ZCTA33231,,,,,,,1
ZCTA33301,,1,1,,1,4,6
ZCTA33303,,,,,,1,
ZCTA33304,3,6,4,4,12,11,5
ZCTA33305,1,1,6,1,1,6,8
ZCTA33306,,,1,1,2,2,1
ZCTA33308,1,,1,4,9,20,18
ZCTA33309,3,5,9,11,9,14,12
ZCTA33310,1,,,,,,
ZCTA33311,8,14,21,46,53,49,38
ZCTA33312,3,8,12,12,27,20,10
ZCTA33313,5,8,10,38,39,32,27
ZCTA33314,1,1,3,13,7,11,3
ZCTA33315,,,,6,5,6,2
ZCTA33316,1,1,2,2,5,5,8
ZCTA33317,,2,5,9,13,8,15
ZCTA33319,1,8,9,28,35,34,32
ZCTA33321,1,8,3,16,24,38,46
ZCTA33322,,2,4,7,18,39,36
ZCTA33323,,,3,4,8,6,5
ZCTA33324,2,,3,8,8,14,16
ZCTA33325,,2,3,6,10,13,6
ZCTA33326,,3,2,3,8,13,12
ZCTA33327,,,2,1,6,4,5
ZCTA33328,,1,4,6,8,8,10
ZCTA33330,,1,1,4,1,5,7
ZCTA33331,,,1,,3,6,4
ZCTA33332,,1,,1,2,5,3
ZCTA33334,,3,12,10,9,13,5
ZCTA33351,,2,3,16,15,16,15
ZCTA33401,,2,4,7,15,19,21
ZCTA33403,1,1,1,5,8,4,9
ZCTA33404,2,3,9,16,23,24,13
ZCTA33405,2,,4,4,10,10,14
ZCTA33406,,4,3,9,12,12,12
ZCTA33407,3,5,9,18,21,22,10
ZCTA33408,,,,1,1,11,12
ZCTA33409,1,2,4,10,15,9,13
ZCTA33410,1,2,1,7,10,5,28
ZCTA33411,3,5,6,15,22,27,27
ZCTA33412,,1,2,1,6,8,5
ZCTA33413,,,1,3,5,7,2
ZCTA33414,,5,5,7,12,24,18
ZCTA33415,2,3,6,14,26,33,30
ZCTA33417,1,7,3,10,11,32,36
ZCTA33418,,1,,4,12,12,26
ZCTA33424,,,,1,,,
ZCTA33426,,,4,6,5,16,21
ZCTA33428,2,3,6,6,8,12,26
ZCTA33430,1,7,10,17,13,17,13
ZCTA33431,,,2,2,6,15,23
ZCTA33432,,3,1,2,5,12,14
ZCTA33433,1,1,3,8,8,29,70
ZCTA33434,,,2,5,7,22,24
ZCTA33435,2,4,14,13,25,26,16
ZCTA33436,1,4,3,8,19,18,31
ZCTA33437,1,,1,3,14,37,54
ZCTA33438,,,2,,,,1
ZCTA33440,,2,8,9,17,16,6
ZCTA33441,,4,2,11,12,23,6
ZCTA33442,,2,5,6,10,28,28
ZCTA33444,3,10,5,9,10,19,8
ZCTA33445,3,2,2,5,14,30,20
ZCTA33446,,,1,2,21,39,46
ZCTA33449,,,1,,3,5,7
ZCTA33454,,,,,,,1
ZCTA33455,1,,1,5,14,19,26
ZCTA33458,,,1,,,,1
ZCTA33458,,5,4,7,11,20,20
ZCTA33460,5,4,9,14,18,25,13
ZCTA33461,2,5,9,17,28,25,18
ZCTA33462,1,4,4,14,21,25,32
ZCTA33463,,9,9,23,24,32,22
ZCTA33464,,1,,1,,,
ZCTA33467,3,2,4,14,27,36,36
ZCTA33469,,,,,2,7,3
ZCTA33469,1,,,,6,4,5
ZCTA33470,2,,5,9,9,13,3
ZCTA33471,,,4,1,4,4,3
ZCTA33472,,,2,2,5,12,9
ZCTA33473,,,,,2,1,1
ZCTA33476,6,,4,3,8,6,3
ZCTA33477,,,,1,1,9,12
ZCTA33478,,,,,,,1
ZCTA33478,,1,2,1,4,1,3
ZCTA33480,,1,,,1,11,17
ZCTA33482,,,,,,,1
ZCTA33483,,,1,2,9,11,7
ZCTA33484,,1,,5,15,38,59
ZCTA33486,,1,4,5,4,10,17
ZCTA33487,1,,,1,4,11,15
ZCTA33493,,2,1,4,3,2,2
ZCTA33496,,,3,2,8,15,25
ZCTA33498,,1,1,1,2,2,6
ZCTA33510,,4,3,8,6,12,12
ZCTA33511,1,1,9,7,18,24,15
ZCTA33513,1,,3,9,7,2,10
ZCTA33514,,,,,2,1,2
ZCTA33521,,1,,,,,
ZCTA33523,,1,,1,3,1,
ZCTA33523,1,,2,4,4,9,2
ZCTA33525,,3,5,6,20,27,13
ZCTA33527,,,4,2,5,7,5
ZCTA33534,1,2,2,2,4,6,3
ZCTA33538,,,3,,5,4,5
ZCTA33540,,2,1,2,5,5,7
ZCTA33541,1,,2,5,14,22,16
ZCTA33542,1,,3,8,10,18,12
ZCTA33543,,2,4,2,9,10,8
ZCTA33544,,,1,6,3,7,5
ZCTA33545,1,1,2,,5,3,1
ZCTA33547,,1,1,4,6,10,2
ZCTA33548,,,,1,1,2,2
ZCTA33549,2,,2,4,5,10,10
ZCTA33549,,,,,3,1,
ZCTA33556,,,,1,3,4,5
ZCTA33556,,,1,2,,2,2
ZCTA33558,,,2,,4,6,7
ZCTA33558,,,,1,,1,3
ZCTA33559,,,,1,1,2,3
ZCTA33559,,1,,,,3,1
ZCTA33563,1,3,3,11,19,17,10
ZCTA33565,1,2,2,5,10,13,5
ZCTA33566,2,1,4,5,17,13,7
ZCTA33567,,,1,8,5,3,5
ZCTA33569,2,1,1,4,7,13,7
ZCTA33570,1,1,3,4,6,9,10
