ZCTA,heart_25to34,heart_35to44,heart_45to54,heart_55to64,heart_65to74,heart_75to84,heart_85up
ZCTA32926,3,3,20,57,73,104,123
ZCTA32927,3,2,22,61,83,72,101
ZCTA32931,,3,10,22,51,59,134
ZCTA32934,2,2,13,24,35,66,94
ZCTA32935,4,,27,93,101,146,270
ZCTA32936,,,,,,1,1
ZCTA32937,2,2,13,23,62,88,172
ZCTA32940,1,4,9,24,65,176,309
ZCTA32941,1,,,,,,
ZCTA32948,,,,,,1,
ZCTA32948,,,2,5,5,6,14
ZCTA32949,,,1,3,3,5,16
ZCTA32950,1,1,3,11,15,21,26
ZCTA32951,,,4,11,20,45,87
ZCTA32952,2,3,9,27,39,88,162
ZCTA32953,1,1,13,43,59,112,166
ZCTA32954,,,,,,,1
ZCTA32955,3,9,15,48,66,130,201
ZCTA32956,,,,,1,,
ZCTA32957,,,,,2,1,2
ZCTA32958,1,,12,38,78,152,256
ZCTA32960,1,3,10,30,56,118,254
ZCTA32962,,1,12,26,59,109,172
ZCTA32962,,,,,,,1
ZCTA32963,,,1,8,24,72,175
ZCTA32963,,,,,1,,1
ZCTA32966,,1,9,28,54,100,328
ZCTA32967,2,5,12,32,37,64,174
ZCTA32968,,1,9,11,24,37,62
ZCTA32970,,,,1,,1,1
ZCTA32976,,1,8,19,46,100,151
ZCTA32976,,,,1,3,3,4
ZCTA32978,,,,,,1,1
ZCTA33001,,,,,2,2,3
ZCTA33004,1,2,11,34,33,54,83
ZCTA33008,,,,,,1,
ZCTA33009,3,6,33,55,87,132,280
ZCTA33009,,,,,,1,
ZCTA33010,,6,24,62,123,277,351
ZCTA33012,6,11,33,70,136,320,683
ZCTA33013,1,4,19,36,62,166,274
ZCTA33014,,4,13,36,65,134,210
ZCTA33015,,7,13,42,68,113,158
ZCTA33016,2,3,15,35,64,156,225
ZCTA33018,1,5,16,34,61,126,198
ZCTA33019,,,5,11,30,51,94
ZCTA33020,3,2,33,75,115,104,114
ZCTA33021,3,5,16,58,89,141,405
ZCTA33022,,,,,,3,
ZCTA33023,3,12,28,66,92,118,171
ZCTA33023,,1,,,1,,
ZCTA33024,2,7,28,67,100,134,200
ZCTA33025,3,11,25,51,61,76,140
ZCTA33025,1,,1,1,1,2,1
ZCTA33026,2,3,7,15,44,48,141
ZCTA33027,5,4,10,38,80,162,400
ZCTA33027,,,,3,2,,
ZCTA33028,2,2,4,9,13,33,48
ZCTA33029,,2,13,17,34,48,105
ZCTA33029,,,1,,,1,
ZCTA33030,3,4,22,43,45,55,84
ZCTA33031,,,2,3,9,19,18
ZCTA33032,3,4,22,48,50,64,74
ZCTA33033,1,8,23,40,71,82,115
ZCTA33034,3,7,22,29,36,48,32
ZCTA33035,2,2,6,17,18,22,18
ZCTA33036,,,4,9,14,12,14
ZCTA33037,1,,8,16,26,39,57
ZCTA33040,3,6,22,66,86,93,98
ZCTA33042,1,,2,8,20,13,19
ZCTA33043,,1,3,11,11,8,13
ZCTA33045,,,,,1,,
ZCTA33050,,2,11,23,30,23,27
ZCTA33051,,,,,1,4,6
ZCTA33052,,1,,,,1,
ZCTA33054,5,10,29,77,68,78,108
ZCTA33055,3,8,40,51,72,128,134
ZCTA33056,2,12,33,68,79,100,70
ZCTA33060,8,6,26,64,75,90,240
ZCTA33061,,,,,,,1
ZCTA33062,1,1,12,42,56,106,269
ZCTA33063,4,10,27,68,135,201,369
