ZCTA,Diabetes_15to19,Diabetes_20to24,Diabetes25to34,Diabetes_35to44,Diabetes_45to54,Diabetes_55to64,Diabetes_65to74,Diabetes_75to84,Diabetes_85up
ZCTA33610,,1,1,4,7,19,23,23,11
ZCTA33609,,,,,1,3,4,2,6
ZCTA33607,,,,2,6,11,7,11,13
ZCTA33606,,,,,,1,3,,1
ZCTA33605,,,,1,7,3,7,7,8
ZCTA33604,,,1,1,5,8,17,13,7
ZCTA33603,,,,3,,3,8,3,4
ZCTA33602,,,,1,2,4,11,4,2
ZCTA33598,,1,,1,1,4,5,5,5
ZCTA33597,,,,,,1,,1,
ZCTA33597,,,1,,1,4,7,1,5
ZCTA33596,,,,,3,3,7,3,6
ZCTA33594,,,,,4,6,10,10,8
ZCTA33592,,,,,2,3,6,6,9
ZCTA33587,,,,,,,1,,
ZCTA33585,,,,1,,,1,1,
ZCTA33584,,,,,3,5,10,12,2
ZCTA33579,,1,,,3,7,6,3,2
ZCTA33578,,,,3,4,5,18,5,7
ZCTA33576,,,,1,1,,7,7,1
ZCTA33573,,,,1,1,1,9,15,12
ZCTA33572,,,,1,1,3,8,5,1
ZCTA33570,,,,2,4,2,11,6,2
ZCTA33569,,,,,,5,6,10,5
ZCTA33568,,,,,,,2,,
ZCTA33567,,,,,3,1,4,4,2
ZCTA33566,,,,,5,6,7,9,2
ZCTA33565,,,2,,,2,10,13,6
ZCTA33563,,,,3,,14,17,11,8
ZCTA33559,,,2,,1,2,2,,
ZCTA33559,,,,,2,1,2,3,1
ZCTA33558,,,,,1,1,3,4,
ZCTA33558,,,,,,1,2,2,1
ZCTA33556,,,,,,3,7,3,4
ZCTA33556,,,,,1,,,3,2
ZCTA33549,,,,,,2,4,4,2
ZCTA33549,,1,,,,2,2,1,
ZCTA33548,,,,,,,1,1,1
ZCTA33547,,,,,3,3,4,5,3
ZCTA33545,,,,1,1,1,3,4,2
ZCTA33544,,,,2,2,2,5,2,4
ZCTA33543,,,,3,,1,9,6,4
